Date,Cuadro de Mando Integral
2012-06,3346
2012-07,3418
2012-08,2514
2012-09,3509
2012-10,3217
2012-11,2939
2012-12,3807
2013-01,3568
2013-02,1871
2013-03,2683
2013-04,2358
2013-05,2791
2013-06,3616
2013-07,3243
2013-08,3197
2013-09,4003
2013-10,3960
2013-11,3228
2013-12,3569
2014-01,3762
2014-02,2449
2014-03,2867
2014-04,2924
2014-05,3357
2014-06,4046
2014-07,3369
2014-08,3371
2014-09,4253
2014-10,4520
2014-11,3268
2014-12,4240
2015-01,3851
2015-02,2457
2015-03,3833
2015-04,2814
2015-05,3604
2015-06,3958
2015-07,3560
2015-08,3155
2015-09,4219
2015-10,4647
2015-11,3535
2015-12,4688
2016-01,4061
2016-02,2711
2016-03,3400
2016-04,3618
2016-05,3911
2016-06,4663
2016-07,4400
2016-08,3595
2016-09,4555
2016-10,5074
2016-11,3985
2016-12,4809
2017-01,3765
2017-02,2902
2017-03,4288
2017-04,3441
2017-05,4831
2017-06,4624
2017-07,5222
2017-08,4523
2017-09,5036
2017-10,5390
2017-11,4721
2017-12,5620
2018-01,4453
2018-02,3440
2018-03,4480
2018-04,4165
2018-05,5020
2018-06,5549
2018-07,5652
2018-08,5234
2018-09,5463
2018-10,6803
2018-11,5028
2018-12,5830
2019-01,4831
2019-02,3709
2019-03,5232
2019-04,4685
2019-05,5142
2019-06,6000
2019-07,5560
2019-08,5515
2019-09,5770
2019-10,7202
2019-11,6679
2019-12,7021
2020-01,5752
2020-02,4551
2020-03,5419
2020-04,4670
2020-05,4831
2020-06,6473
2020-07,6149
2020-08,5792
2020-09,6436
2020-10,7075
2020-11,6788
2020-12,8817
2021-01,6181
2021-02,4884
2021-03,6176
2021-04,5600
2021-05,6049
2021-06,6823
2021-07,5892
2021-08,6500
2021-09,6571
2021-10,7363
2021-11,6551
2021-12,8339
2022-01,6733
2022-02,4812
2022-03,5877
2022-04,5666
2022-05,6120
2022-06,7579
2022-07,6468
2022-08,6889
2022-09,7149
2022-10,7401
2022-11,7283
2022-12,10414
2023-01,6871
2023-02,5321
2023-03,6636
2023-04,5872
2023-05,7228
2023-06,8023
2023-07,6840
2023-08,7240
2023-09,8220
2023-10,8199
2023-11,8095
2023-12,10317
2024-01,7292
2024-02,6228
2024-03,6842
2024-04,7463
2024-05,8874
2024-06,8483
2024-07,8021
2024-08,8127
2024-09,8006
2024-10,8590
2024-11,7975
2024-12,9447
2025-01,6438
2025-02,4706
