Date,Presupuesto Base Cero
2012-06,2458
2012-07,2607
2012-08,2223
2012-09,2577
2012-10,2732
2012-11,2273
2012-12,3234
2013-01,2256
2013-02,1467
2013-03,1832
2013-04,1687
2013-05,2250
2013-06,2768
2013-07,2685
2013-08,2737
2013-09,3183
2013-10,3094
2013-11,2753
2013-12,2930
2014-01,2498
2014-02,1958
2014-03,2334
2014-04,2223
2014-05,2969
2014-06,3496
2014-07,3026
2014-08,2815
2014-09,3366
2014-10,3567
2014-11,2679
2014-12,3514
2015-01,2759
2015-02,1976
2015-03,2678
2015-04,2391
2015-05,3028
2015-06,3265
2015-07,3140
2015-08,2914
2015-09,3392
2015-10,3451
2015-11,3216
2015-12,3871
2016-01,3027
2016-02,2109
2016-03,2780
2016-04,2905
2016-05,3635
2016-06,3769
2016-07,4038
2016-08,3274
2016-09,3774
2016-10,4353
2016-11,3388
2016-12,3936
2017-01,3156
2017-02,2371
2017-03,3558
2017-04,3035
2017-05,4264
2017-06,3706
2017-07,4931
2017-08,3800
2017-09,3962
2017-10,4564
2017-11,3904
2017-12,4725
2018-01,3905
2018-02,3129
2018-03,3759
2018-04,3610
2018-05,4240
2018-06,5140
2018-07,5189
2018-08,4657
2018-09,4621
2018-10,5785
2018-11,4813
2018-12,4941
2019-01,4201
2019-02,3542
2019-03,4760
2019-04,4313
2019-05,4698
2019-06,5655
2019-07,5978
2019-08,5026
2019-09,5365
2019-10,6498
2019-11,6147
2019-12,6477
2020-01,5517
2020-02,4472
2020-03,5018
2020-04,4616
2020-05,4667
2020-06,6006
2020-07,6130
2020-08,5681
2020-09,6321
2020-10,7505
2020-11,7180
2020-12,7923
2021-01,6793
2021-02,4944
2021-03,6207
2021-04,5688
2021-05,6762
2021-06,6657
2021-07,6983
2021-08,6302
2021-09,7173
2021-10,8648
2021-11,7164
2021-12,8458
2022-01,7252
2022-02,5272
2022-03,6424
2022-04,6367
2022-05,6987
2022-06,7902
2022-07,7980
2022-08,8117
2022-09,8165
2022-10,8947
2022-11,9086
2022-12,11316
2023-01,8032
2023-02,6600
2023-03,7488
2023-04,7279
2023-05,8830
2023-06,8757
2023-07,8507
2023-08,8245
2023-09,8778
2023-10,10040
2023-11,9702
2023-12,12080
2024-01,8686
2024-02,7117
2024-03,8402
2024-04,8391
2024-05,10658
2024-06,8997
2024-07,9529
2024-08,8716
2024-09,8957
2024-10,10012
2024-11,9271
2024-12,10452
2025-01,7604
2025-02,5983
