Month,Alianzas y Capital de Riesgo
2021-10,11.494252873563218
2021-11,10.344827586206897
2021-12,4.597701149425287
2022-01,4.597701149425287
2022-02,17.24137931034483
2022-03,19.54022988505747
2022-04,22.988505747126435
2022-05,13.793103448275861
2022-06,11.494252873563218
2022-07,6.896551724137931
2022-08,5.747126436781609
2022-09,12.643678160919542
2022-10,13.793103448275861
2022-11,16.091954022988507
2022-12,9.195402298850574
2023-01,6.896551724137931
2023-02,10.344827586206897
2023-03,13.793103448275861
2023-04,11.494252873563218
2023-05,6.896551724137931
2023-06,5.747126436781609
2023-07,1.1494252873563218
2023-08,2.2988505747126435
2023-09,6.896551724137931
2023-10,11.494252873563218
2023-11,10.344827586206897
2023-12,4.597701149425287
2024-01,4.597701149425287
2024-02,9.195402298850574
2024-03,9.195402298850574
