Month,Fusiones y Adquisiciones
2021-11,4.225352112676056
2021-12,2.8169014084507045
2022-01,8.450704225352112
2022-02,15.492957746478872
2022-03,11.267605633802818
2022-04,15.492957746478872
2022-05,8.450704225352112
2022-06,11.267605633802818
2022-07,5.633802816901409
2022-08,7.042253521126761
2022-09,9.859154929577464
2022-10,9.859154929577464
2022-11,12.676056338028168
2022-12,1.4084507042253522
2023-01,7.042253521126761
2023-02,11.267605633802818
2023-03,9.859154929577464
2023-04,8.450704225352112
2023-05,7.042253521126761
2023-06,9.859154929577464
2023-07,4.225352112676056
2023-08,7.042253521126761
2023-09,8.450704225352112
2023-10,9.859154929577464
2023-11,4.225352112676056
2023-12,5.633802816901409
2024-01,8.450704225352112
2024-02,11.267605633802818
2024-03,12.676056338028168
2024-04,15.492957746478872
