Month,Estrategias de Crecimiento
2021-11,49.2063492063492
2021-12,26.984126984126984
2022-01,53.96825396825397
2022-02,55.55555555555556
2022-03,77.77777777777779
2022-04,66.66666666666666
2022-05,52.38095238095239
2022-06,41.269841269841265
2022-07,25.396825396825395
2022-08,30.158730158730158
2022-09,47.61904761904761
2022-10,53.96825396825397
2022-11,52.38095238095239
2022-12,38.095238095238095
2023-01,41.269841269841265
2023-02,49.2063492063492
2023-03,42.857142857142854
2023-04,36.507936507936506
2023-05,38.095238095238095
2023-06,33.33333333333333
2023-07,22.22222222222222
2023-08,22.22222222222222
2023-09,46.03174603174603
2023-10,47.61904761904761
2023-11,39.682539682539684
2023-12,28.57142857142857
2024-01,36.507936507936506
2024-02,52.38095238095239
2024-03,46.03174603174603
2024-04,46.03174603174603
