Date,Optimización de Precios
2010-05,1219
2010-06,1444
2010-07,1814
2010-08,1206
2010-09,1179
2010-10,1266
2010-11,1325
2010-12,4392
2011-01,4141
2011-02,956
2011-03,1176
2011-04,1424
2011-05,1397
2011-06,1337
2011-07,1402
2011-08,1520
2011-09,1496
2011-10,1288
2011-11,1288
2011-12,4592
2012-01,4950
2012-02,1049
2012-03,1127
2012-04,1162
2012-05,1459
2012-06,1571
2012-07,1221
2012-08,1221
2012-09,1794
2012-10,1397
2012-11,1669
2012-12,4870
2013-01,4376
2013-02,1000
2013-03,1208
2013-04,1304
2013-05,1406
2013-06,1625
2013-07,1413
2013-08,1571
2013-09,1603
2013-10,1647
2013-11,1659
2013-12,5314
2014-01,5021
2014-02,1216
2014-03,1327
2014-04,1376
2014-05,1544
2014-06,1750
2014-07,1564
2014-08,1592
2014-09,1756
2014-10,1743
2014-11,1690
2014-12,5740
2015-01,5340
2015-02,1127
2015-03,1305
2015-04,1364
2015-05,1543
2015-06,1636
2015-07,1469
2015-08,1556
2015-09,1710
2015-10,1817
2015-11,1727
2015-12,5547
2016-01,5169
2016-02,1498
2016-03,1594
2016-04,1429
2016-05,1494
2016-06,1746
2016-07,1595
2016-08,1948
2016-09,2127
2016-10,1874
2016-11,1906
2016-12,5789
2017-01,5380
2017-02,1249
2017-03,1433
2017-04,1663
2017-05,1872
2017-06,2015
2017-07,1833
2017-08,1844
2017-09,1971
2017-10,1927
2017-11,2108
2017-12,6580
2018-01,6147
2018-02,1553
2018-03,1734
2018-04,1755
2018-05,1969
2018-06,2238
2018-07,2145
2018-08,1988
2018-09,2418
2018-10,2199
2018-11,2060
2018-12,6743
2019-01,6340
2019-02,1653
2019-03,1994
2019-04,1978
2019-05,2007
2019-06,2337
2019-07,2259
2019-08,2246
2019-09,2371
2019-10,2570
2019-11,2716
2019-12,7655
2020-01,7559
2020-02,1904
2020-03,1991
2020-04,1869
2020-05,2062
2020-06,2436
2020-07,2119
2020-08,2360
2020-09,2427
2020-10,2591
2020-11,2823
2020-12,8561
2021-01,7940
2021-02,2091
2021-03,2354
2021-04,2200
2021-05,2435
2021-06,2563
2021-07,2309
2021-08,2621
2021-09,2693
2021-10,2798
2021-11,2763
2021-12,9196
2022-01,9155
2022-02,2170
2022-03,2514
2022-04,2287
2022-05,2479
2022-06,2910
2022-07,2668
2022-08,2903
2022-09,2834
2022-10,3132
2022-11,3332
2022-12,11080
2023-01,10654
2023-02,2553
2023-03,2722
2023-04,2528
2023-05,2842
2023-06,3245
2023-07,2860
2023-08,3033
2023-09,3314
2023-10,3468
2023-11,3633
2023-12,13279
2024-01,12426
2024-02,2938
2024-03,3296
2024-04,3165
2024-05,3711
2024-06,3704
2024-07,3455
2024-08,3483
2024-09,3628
2024-10,4049
2024-11,4321
2024-12,6831
2025-01,5654
2025-02,3114
2025-03,1974
