Date,Segmentación de Clientes
2020-11,5764
2020-12,21275
2021-01,19321
2021-02,4756
2021-03,5290
2021-04,5027
2021-05,5176
2021-06,5778
2021-07,5355
2021-08,5658
2021-09,5895
2021-10,5979
2021-11,5920
2021-12,22568
2022-01,20680
2022-02,4675
2022-03,5571
2022-04,5353
2022-05,5744
2022-06,6935
2022-07,5901
2022-08,7467
2022-09,6181
2022-10,6176
2022-11,6581
2022-12,25395
2023-01,22839
2023-02,5439
2023-03,6618
2023-04,6178
2023-05,6449
2023-06,7668
2023-07,6720
2023-08,6923
2023-09,7713
2023-10,7969
2023-11,8291
2023-12,29101
2024-01,26326
2024-02,6584
2024-03,7440
2024-04,7420
2024-05,8522
2024-06,8712
2024-07,8253
2024-08,8366
2024-09,8374
2024-10,8990
2024-11,8559
2024-12,14019
2025-01,11137
2025-02,6204
2025-03,3443
