Date,Competencias Centrales
2011-11,1347
2011-12,1588
2012-01,2280
2012-02,1176
2012-03,1535
2012-04,1343
2012-05,1641
2012-06,1682
2012-07,1759
2012-08,1285
2012-09,1678
2012-10,1676
2012-11,1611
2012-12,1759
2013-01,2078
2013-02,1218
2013-03,1692
2013-04,1460
2013-05,1730
2013-06,1693
2013-07,1872
2013-08,1495
2013-09,1874
2013-10,2109
2013-11,1705
2013-12,1908
2014-01,2347
2014-02,1474
2014-03,1790
2014-04,1804
2014-05,1640
2014-06,2024
2014-07,1915
2014-08,1852
2014-09,2284
2014-10,2302
2014-11,1892
2014-12,2185
2015-01,2469
2015-02,1546
2015-03,1982
2015-04,1816
2015-05,1878
2015-06,2323
2015-07,1879
2015-08,1964
2015-09,2189
2015-10,2505
2015-11,2012
2015-12,2647
2016-01,2493
2016-02,1837
2016-03,2260
2016-04,2422
2016-05,2073
2016-06,2695
2016-07,2074
2016-08,2071
2016-09,2552
2016-10,2296
2016-11,2310
2016-12,2867
2017-01,2425
2017-02,1983
2017-03,2527
2017-04,2134
2017-05,2490
2017-06,2780
2017-07,2826
2017-08,2630
2017-09,3181
2017-10,2918
2017-11,2987
2017-12,3226
2018-01,2718
2018-02,2297
2018-03,2883
2018-04,2770
2018-05,2825
2018-06,3053
2018-07,3104
2018-08,3123
2018-09,3148
2018-10,3725
2018-11,2971
2018-12,3674
2019-01,2882
2019-02,2621
2019-03,3388
2019-04,3093
2019-05,3257
2019-06,3543
2019-07,3285
2019-08,3419
2019-09,3498
2019-10,3760
2019-11,3844
2019-12,4384
2020-01,3733
2020-02,3159
2020-03,3812
2020-04,3300
2020-05,3183
2020-06,4099
2020-07,3665
2020-08,3611
2020-09,4116
2020-10,4168
2020-11,4232
2020-12,5446
2021-01,3901
2021-02,3506
2021-03,4376
2021-04,3951
2021-05,3571
2021-06,4516
2021-07,3988
2021-08,3937
2021-09,4651
2021-10,4250
2021-11,4112
2021-12,5493
2022-01,4344
2022-02,3379
2022-03,4251
2022-04,3890
2022-05,4083
2022-06,5335
2022-07,3938
2022-08,4457
2022-09,4931
2022-10,4497
2022-11,4450
2022-12,6302
2023-01,4503
2023-02,3928
2023-03,5053
2023-04,4073
2023-05,4596
2023-06,5823
2023-07,4622
2023-08,4768
2023-09,5399
2023-10,5305
2023-11,5278
2023-12,7018
2024-01,5078
2024-02,4476
2024-03,5422
2024-04,5085
2024-05,5542
2024-06,6075
2024-07,5382
2024-08,5716
2024-09,5641
2024-10,5814
2024-11,5787
2024-12,7274
2025-01,5350
2025-02,3722
