Date,Strategic Planning
1999-12,562
2000-01,977
2000-02,352
2000-03,566
2000-04,528
2000-05,404
2000-06,515
2000-07,468
2000-08,405
2000-09,643
2000-10,415
2000-11,346
2000-12,671
2001-01,1118
2001-02,338
2001-03,651
2001-04,473
2001-05,473
2001-06,590
2001-07,408
2001-08,417
2001-09,604
2001-10,467
2001-11,393
2001-12,625
2002-01,1059
2002-02,381
2002-03,539
2002-04,551
2002-05,472
2002-06,551
2002-07,387
2002-08,435
2002-09,750
2002-10,450
2002-11,425
2002-12,704
2003-01,892
2003-02,417
2003-03,633
2003-04,523
2003-05,416
2003-06,610
2003-07,462
2003-08,465
2003-09,1065
2003-10,522
2003-11,387
2003-12,776
2004-01,855
2004-02,450
2004-03,768
2004-04,696
2004-05,617
2004-06,666
2004-07,636
2004-08,637
2004-09,702
2004-10,689
2004-11,486
2004-12,808
2005-01,907
2005-02,434
2005-03,659
2005-04,538
2005-05,624
2005-06,759
2005-07,556
2005-08,590
2005-09,715
2005-10,621
2005-11,478
2005-12,843
2006-01,909
2006-02,548
2006-03,725
2006-04,790
2006-05,642
2006-06,876
2006-07,690
2006-08,619
2006-09,844
2006-10,1096
2006-11,660
2006-12,817
2007-01,1031
2007-02,559
2007-03,937
2007-04,889
2007-05,666
2007-06,1260
2007-07,757
2007-08,717
2007-09,857
2007-10,1064
2007-11,886
2007-12,1561
2008-01,1317
2008-02,599
2008-03,873
2008-04,835
2008-05,848
2008-06,1275
2008-07,827
2008-08,761
2008-09,1405
2008-10,923
2008-11,754
2008-12,1182
2009-01,1296
2009-02,763
2009-03,904
2009-04,928
2009-05,844
2009-06,1236
2009-07,907
2009-08,872
2009-09,1145
2009-10,1115
2009-11,899
2009-12,1187
2010-01,1328
2010-02,782
2010-03,1090
2010-04,1022
2010-05,1013
2010-06,1372
2010-07,933
2010-08,960
2010-09,1332
2010-10,1346
2010-11,950
2010-12,1307
2011-01,1716
2011-02,1022
2011-03,1212
2011-04,1032
2011-05,1282
2011-06,1498
2011-07,1160
2011-08,1406
2011-09,1247
2011-10,1342
2011-11,991
2011-12,1459
2012-01,2858
2012-02,1025
2012-03,1518
2012-04,1080
2012-05,1521
2012-06,1576
2012-07,1626
2012-08,1370
2012-09,1820
2012-10,1514
2012-11,1526
2012-12,1480
2013-01,2116
