Date,Planificación de Escenarios
2000-05,633
2000-06,717
2000-07,643
2000-08,699
2000-09,816
2000-10,584
2000-11,650
2000-12,3420
2001-01,3324
2001-02,645
2001-03,808
2001-04,652
2001-05,751
2001-06,794
2001-07,581
2001-08,701
2001-09,821
2001-10,669
2001-11,672
2001-12,3634
2002-01,3553
2002-02,666
2002-03,748
2002-04,608
2002-05,758
2002-06,719
2002-07,631
2002-08,767
2002-09,895
2002-10,704
2002-11,721
2002-12,3788
2003-01,3567
2003-02,676
2003-03,842
2003-04,647
2003-05,729
2003-06,786
2003-07,630
2003-08,794
2003-09,1238
2003-10,673
2003-11,674
2003-12,3993
2004-01,3783
2004-02,845
2004-03,989
2004-04,881
2004-05,902
2004-06,897
2004-07,758
2004-08,963
2004-09,1042
2004-10,884
2004-11,812
2004-12,3834
2005-01,3630
2005-02,790
2005-03,915
2005-04,759
2005-05,983
2005-06,945
2005-07,764
2005-08,951
2005-09,1037
2005-10,811
2005-11,871
2005-12,4260
2006-01,4058
2006-02,865
2006-03,1012
2006-04,891
2006-05,1088
2006-06,1177
2006-07,892
2006-08,995
2006-09,1250
2006-10,1306
2006-11,1016
2006-12,4213
2007-01,4007
2007-02,926
2007-03,1278
2007-04,1081
2007-05,1265
2007-06,1435
2007-07,1031
2007-08,1052
2007-09,1203
2007-10,1231
2007-11,1600
2007-12,4836
2008-01,4183
2008-02,875
2008-03,1164
2008-04,1121
2008-05,1351
2008-06,1482
2008-07,1158
2008-08,1503
2008-09,1688
2008-10,1157
2008-11,1199
2008-12,5266
2009-01,5006
2009-02,1151
2009-03,1167
2009-04,1265
2009-05,1363
2009-06,1583
2009-07,1278
2009-08,1307
2009-09,1593
2009-10,1413
2009-11,1349
2009-12,21967
2010-01,21555
2010-02,1062
2010-03,1328
2010-04,1271
2010-05,1629
2010-06,1707
2010-07,1321
2010-08,1612
2010-09,1770
2010-10,1626
2010-11,1506
2010-12,5525
2011-01,5095
2011-02,1339
2011-03,1568
2011-04,1818
2011-05,2222
2011-06,1966
2011-07,1571
2011-08,1640
2011-09,1743
2011-10,1573
2011-11,1510
2011-12,5992
2012-01,6246
2012-02,1431
2012-03,1883
2012-04,1578
2012-05,2210
2012-06,2085
2012-07,1853
2012-08,1724
2012-09,2001
2012-10,1901
2012-11,1974
2012-12,6979
2013-01,6839
2013-02,1473
2013-03,1601
2013-04,1701
2013-05,2194
2013-06,2260
2013-07,1694
2013-08,1933
2013-09,2434
2013-10,2502
2013-11,2135
2013-12,7724
2014-01,7216
2014-02,1530
2014-03,1767
2014-04,1999
2014-05,2289
2014-06,2214
2014-07,2049
2014-08,2407
2014-09,2780
2014-10,2522
2014-11,2267
2014-12,7817
2015-01,7270
2015-02,1878
2015-03,2352
2015-04,2309
2015-05,2569
2015-06,2729
2015-07,2249
2015-08,2876
2015-09,2887
2015-10,3351
2015-11,3013
2015-12,8607
2016-01,7915
2016-02,2411
2016-03,2873
2016-04,3206
2016-05,3277
2016-06,3305
2016-07,3251
2016-08,3104
2016-09,3547
2016-10,3736
2016-11,3329
2016-12,9555
2017-01,8775
2017-02,2798
2017-03,3232
2017-04,3130
2017-05,3584
2017-06,3706
2017-07,3654
2017-08,3431
2017-09,4087
2017-10,4178
2017-11,4233
2017-12,11033
2018-01,10291
2018-02,3270
2018-03,3700
2018-04,3762
2018-05,4240
2018-06,4086
2018-07,3723
2018-08,3900
2018-09,4690
2018-10,4916
2018-11,4414
2018-12,11686
2019-01,10952
2019-02,3555
2019-03,4097
2019-04,4121
2019-05,4358
2019-06,4647
2019-07,4629
2019-08,4125
2019-09,4554
2019-10,5028
2019-11,5084
2019-12,13273
2020-01,12148
2020-02,4126
2020-03,4335
2020-04,3986
2020-05,4188
2020-06,4879
2020-07,4306
2020-08,4370
2020-09,4616
2020-10,5415
2020-11,5489
2020-12,15144
2021-01,13125
2021-02,4009
2021-03,4502
2021-04,4225
2021-05,4717
2021-06,4644
2021-07,4501
2021-08,4912
2021-09,5082
2021-10,5255
2021-11,5220
2021-12,14813
2022-01,13470
2022-02,4185
2022-03,4680
2022-04,4317
2022-05,4672
2022-06,5211
2022-07,4758
2022-08,5337
2022-09,5407
2022-10,5942
2022-11,6287
2022-12,16400
2023-01,14481
2023-02,4853
2023-03,5384
2023-04,4967
2023-05,5838
2023-06,6111
2023-07,5520
2023-08,5701
2023-09,6149
2023-10,6442
2023-11,6460
2023-12,18206
2024-01,16287
2024-02,5296
2024-03,5855
2024-04,5574
2024-05,6507
2024-06,6112
2024-07,5844
2024-08,5861
2024-09,6071
2024-10,6489
2024-11,6167
2024-12,8548
2025-01,6927
2025-02,4224
2025-03,2422
