Date,Experiencia del Cliente
2017-08,16821
2017-09,15914
2017-10,14151
2017-11,15682
2017-12,59629
2018-01,56068
2018-02,12582
2018-03,14291
2018-04,14120
2018-05,15072
2018-06,16191
2018-07,18497
2018-08,18247
2018-09,17262
2018-10,16695
2018-11,15653
2018-12,61085
2019-01,56635
2019-02,13875
2019-03,16215
2019-04,14870
2019-05,16120
2019-06,17336
2019-07,19406
2019-08,19526
2019-09,19140
2019-10,18255
2019-11,21322
2019-12,68645
2020-01,63452
2020-02,15204
2020-03,17149
2020-04,15732
2020-05,16697
2020-06,19299
2020-07,20262
2020-08,20564
2020-09,19517
2020-10,19719
2020-11,20537
2020-12,75688
2021-01,67575
2021-02,16882
2021-03,19533
2021-04,18494
2021-05,17781
2021-06,21977
2021-07,20673
2021-08,22408
2021-09,20973
2021-10,20033
2021-11,20649
2021-12,77490
2022-01,69641
2022-02,16753
2022-03,19097
2022-04,19154
2022-05,19831
2022-06,24223
2022-07,22475
2022-08,25949
2022-09,21452
2022-10,20582
2022-11,21856
2022-12,87895
2023-01,78012
2023-02,18170
2023-03,21813
2023-04,19060
2023-05,21743
2023-06,24148
2023-07,24107
2023-08,25732
2023-09,24808
2023-10,25024
2023-11,26761
2023-12,90609
2024-01,81886
2024-02,21760
2024-03,23372
2024-04,24763
2024-05,27087
2024-06,27499
2024-07,29102
2024-08,29204
2024-09,26635
2024-10,27334
2024-11,26182
2024-12,41261
2025-01,33289
2025-02,19725
2025-03,9732
