Date,Gestión del Cambio
2000-09,1702
2000-10,1776
2000-11,1413
2000-12,2193
2001-01,3273
2001-02,1060
2001-03,2046
2001-04,1531
2001-05,1589
2001-06,1842
2001-07,1412
2001-08,1340
2001-09,1835
2001-10,1728
2001-11,1250
2001-12,2506
2002-01,3658
2002-02,1182
2002-03,1967
2002-04,1631
2002-05,1795
2002-06,1791
2002-07,1523
2002-08,1440
2002-09,2420
2002-10,1695
2002-11,1809
2002-12,2398
2003-01,3509
2003-02,1531
2003-03,2042
2003-04,1679
2003-05,1304
2003-06,2176
2003-07,1614
2003-08,1584
2003-09,2950
2003-10,1858
2003-11,1506
2003-12,2929
2004-01,3658
2004-02,1639
2004-03,2403
2004-04,2033
2004-05,1673
2004-06,2385
2004-07,2135
2004-08,1967
2004-09,2169
2004-10,2121
2004-11,1874
2004-12,2704
2005-01,3978
2005-02,1509
2005-03,2406
2005-04,2034
2005-05,1815
2005-06,2739
2005-07,2767
2005-08,2115
2005-09,2314
2005-10,2062
2005-11,1985
2005-12,2716
2006-01,4492
2006-02,1696
2006-03,2585
2006-04,2415
2006-05,2172
2006-06,2607
2006-07,2450
2006-08,2569
2006-09,2818
2006-10,2410
2006-11,2567
2006-12,3033
2007-01,4496
2007-02,2160
2007-03,3179
2007-04,2317
2007-05,3031
2007-06,3277
2007-07,2710
2007-08,2765
2007-09,2617
2007-10,3018
2007-11,2628
2007-12,4047
2008-01,4416
2008-02,2173
2008-03,2948
2008-04,2653
2008-05,2412
2008-06,3148
2008-07,2934
2008-08,2271
2008-09,3634
2008-10,3068
2008-11,3020
2008-12,4297
2009-01,4575
2009-02,4242
2009-03,3355
2009-04,2921
2009-05,2721
2009-06,3535
2009-07,3108
2009-08,2969
2009-09,4466
2009-10,3545
2009-11,3091
2009-12,4041
2010-01,5228
2010-02,2714
2010-03,4213
2010-04,3079
2010-05,3492
2010-06,3859
2010-07,3871
2010-08,3996
2010-09,3755
2010-10,3775
2010-11,4567
2010-12,4592
2011-01,5744
2011-02,3121
2011-03,4030
2011-04,3422
2011-05,4865
2011-06,4223
2011-07,3539
2011-08,4440
2011-09,4828
2011-10,3969
2011-11,4481
2011-12,4853
2012-01,8121
2012-02,3740
2012-03,4893
2012-04,3944
2012-05,4318
2012-06,5279
2012-07,4796
2012-08,4067
2012-09,4979
2012-10,5082
2012-11,5311
2012-12,6087
2013-01,6859
2013-02,3617
2013-03,5035
2013-04,4271
2013-05,4544
2013-06,5055
2013-07,4669
2013-08,3800
2013-09,5753
2013-10,6157
2013-11,5148
2013-12,6030
2014-01,6474
2014-02,3850
2014-03,4973
2014-04,4595
2014-05,4126
2014-06,4951
2014-07,4776
2014-08,4188
2014-09,5317
2014-10,5496
2014-11,4903
2014-12,6101
2015-01,8633
2015-02,3708
2015-03,5548
2015-04,4586
2015-05,4283
2015-06,5276
2015-07,4892
2015-08,4333
2015-09,5057
2015-10,5715
2015-11,4717
2015-12,6377
2016-01,6129
2016-02,4807
2016-03,5127
2016-04,6922
2016-05,4712
2016-06,5997
2016-07,5278
2016-08,5136
2016-09,6058
2016-10,5628
2016-11,5489
2016-12,7330
2017-01,5473
2017-02,4493
2017-03,6267
2017-04,4798
2017-05,5826
2017-06,6485
2017-07,6900
2017-08,5815
2017-09,8116
2017-10,6839
2017-11,6992
2017-12,8367
2018-01,6299
2018-02,5185
2018-03,6322
2018-04,6438
2018-05,6278
2018-06,6569
2018-07,6143
2018-08,6010
2018-09,7257
2018-10,7635
2018-11,5930
2018-12,8595
2019-01,6728
2019-02,5301
2019-03,7431
2019-04,6363
2019-05,6832
2019-06,7664
2019-07,7125
2019-08,7171
2019-09,7936
2019-10,7350
2019-11,8398
2019-12,10555
2020-01,7269
2020-02,6535
2020-03,7767
2020-04,6879
2020-05,6410
2020-06,7852
2020-07,8037
2020-08,7463
2020-09,8116
2020-10,8065
2020-11,8160
2020-12,13822
2021-01,7880
2021-02,6888
2021-03,8945
2021-04,7929
2021-05,7189
2021-06,9274
2021-07,7940
2021-08,8042
2021-09,9021
2021-10,8444
2021-11,8906
2021-12,12731
2022-01,8749
2022-02,7163
2022-03,9110
2022-04,8470
2022-05,8385
2022-06,10848
2022-07,8342
2022-08,10813
2022-09,9666
2022-10,9342
2022-11,9458
2022-12,13822
2023-01,8524
2023-02,8093
2023-03,10700
2023-04,8642
2023-05,10069
2023-06,11530
2023-07,9476
2023-08,10104
2023-09,10765
2023-10,10731
2023-11,11356
2023-12,14654
2024-01,10641
2024-02,9803
2024-03,10403
2024-04,10644
2024-05,11608
2024-06,11272
2024-07,10973
2024-08,11138
2024-09,12519
2024-10,11664
2024-11,10586
2024-12,14025
2025-01,10225
2025-02,8194
2025-03,3343
