Date,Estrategias de Crecimiento
2011-03,3678
2011-04,3425
2011-05,4851
2011-06,3769
2011-07,3175
2011-08,3499
2011-09,3958
2011-10,3936
2011-11,3558
2011-12,4080
2012-01,6872
2012-02,3098
2012-03,3865
2012-04,3672
2012-05,4119
2012-06,4264
2012-07,3728
2012-08,3551
2012-09,4044
2012-10,4159
2012-11,3907
2012-12,4690
2013-01,4891
2013-02,3089
2013-03,3875
2013-04,4204
2013-05,4015
2013-06,4034
2013-07,3904
2013-08,3692
2013-09,4688
2013-10,4470
2013-11,4035
2013-12,4710
2014-01,5000
2014-02,3251
2014-03,3997
2014-04,4062
2014-05,3878
2014-06,4461
2014-07,4035
2014-08,3941
2014-09,4923
2014-10,4863
2014-11,3910
2014-12,4979
2015-01,4957
2015-02,3187
2015-03,4099
2015-04,3932
2015-05,3786
2015-06,4727
2015-07,3767
2015-08,3820
2015-09,4332
2015-10,4566
2015-11,3990
2015-12,5465
2016-01,4975
2016-02,3618
2016-03,4369
2016-04,5062
2016-05,4308
2016-06,5019
2016-07,4314
2016-08,4014
2016-09,4985
2016-10,4905
2016-11,4480
2016-12,6310
2017-01,4937
2017-02,3680
2017-03,5168
2017-04,4380
2017-05,4899
2017-06,5730
2017-07,5838
2017-08,4820
2017-09,6581
2017-10,5846
2017-11,5671
2017-12,6746
2018-01,5407
2018-02,4356
2018-03,5307
2018-04,5518
2018-05,5379
2018-06,5939
2018-07,5611
2018-08,5448
2018-09,6046
2018-10,6595
2018-11,5265
2018-12,7847
2019-01,5683
2019-02,4474
2019-03,6407
2019-04,5980
2019-05,6123
2019-06,6945
2019-07,6614
2019-08,6259
2019-09,7093
2019-10,6716
2019-11,6911
2019-12,8881
2020-01,6686
2020-02,5953
2020-03,6943
2020-04,6177
2020-05,5914
2020-06,7932
2020-07,7087
2020-08,7084
2020-09,7640
2020-10,7871
2020-11,8185
2020-12,11198
2021-01,8049
2021-02,6180
2021-03,8401
2021-04,7348
2021-05,7240
2021-06,8642
2021-07,7616
2021-08,7325
2021-09,8144
2021-10,8087
2021-11,8076
2021-12,10866
2022-01,7789
2022-02,6744
2022-03,8312
2022-04,7759
2022-05,7705
2022-06,10266
2022-07,7822
2022-08,8710
2022-09,9163
2022-10,8688
2022-11,8844
2022-12,12865
2023-01,8381
2023-02,7241
2023-03,17621
2023-04,11673
2023-05,9221
2023-06,11192
2023-07,9110
2023-08,9873
2023-09,10550
2023-10,10646
2023-11,10640
2023-12,14114
2024-01,10801
2024-02,8765
2024-03,10280
2024-04,10190
2024-05,11058
2024-06,11926
2024-07,10899
2024-08,11474
2024-09,11701
2024-10,11506
2024-11,10797
2024-12,14031
2025-01,9920
2025-02,7144
