Date,Lealtad del Cliente
2006-04,2215
2006-05,1738
2006-06,2441
2006-07,2270
2006-08,2239
2006-09,2417
2006-10,2316
2006-11,2290
2006-12,2515
2007-01,3984
2007-02,1953
2007-03,2767
2007-04,2052
2007-05,2685
2007-06,3107
2007-07,2411
2007-08,2759
2007-09,2266
2007-10,2610
2007-11,2293
2007-12,3757
2008-01,3831
2008-02,1875
2008-03,2485
2008-04,2579
2008-05,2154
2008-06,2912
2008-07,2427
2008-08,1969
2008-09,3505
2008-10,3006
2008-11,2546
2008-12,3958
2009-01,3884
2009-02,2435
2009-03,2932
2009-04,2524
2009-05,2336
2009-06,3257
2009-07,2606
2009-08,2799
2009-09,4716
2009-10,3199
2009-11,2826
2009-12,3578
2010-01,4499
2010-02,2346
2010-03,3520
2010-04,2621
2010-05,3011
2010-06,3700
2010-07,3495
2010-08,4346
2010-09,3320
2010-10,3679
2010-11,4111
2010-12,3819
2011-01,5190
2011-02,2440
2011-03,3201
2011-04,2943
2011-05,3887
2011-06,3508
2011-07,3017
2011-08,5043
2011-09,4334
2011-10,3655
2011-11,3934
2011-12,4125
2012-01,7667
2012-02,3075
2012-03,4155
2012-04,3577
2012-05,3564
2012-06,4874
2012-07,4461
2012-08,3229
2012-09,4165
2012-10,4289
2012-11,4066
2012-12,5008
2013-01,5877
2013-02,2921
2013-03,3928
2013-04,3405
2013-05,3567
2013-06,4424
2013-07,3960
2013-08,3089
2013-09,4551
2013-10,4863
2013-11,4357
2013-12,4805
2014-01,5704
2014-02,3177
2014-03,4066
2014-04,3610
2014-05,3595
2014-06,4182
2014-07,3847
2014-08,3471
2014-09,4634
2014-10,5328
2014-11,4059
2014-12,5248
2015-01,8120
2015-02,3122
2015-03,4526
2015-04,3658
2015-05,3648
2015-06,4618
2015-07,3769
2015-08,3759
2015-09,4177
2015-10,5266
2015-11,3645
2015-12,5055
2016-01,5805
2016-02,4047
2016-03,4495
2016-04,5914
2016-05,4009
2016-06,5244
2016-07,4361
2016-08,3747
2016-09,4956
2016-10,4871
2016-11,4452
2016-12,6125
2017-01,4948
2017-02,3892
2017-03,5352
2017-04,4173
2017-05,5203
2017-06,5695
2017-07,5667
2017-08,5445
2017-09,6670
2017-10,5665
2017-11,5753
2017-12,6931
2018-01,5638
2018-02,4415
2018-03,5194
2018-04,5634
2018-05,5401
2018-06,5947
2018-07,5506
2018-08,5671
2018-09,6319
2018-10,6454
2018-11,4971
2018-12,7396
2019-01,5618
2019-02,4784
2019-03,6455
2019-04,5406
2019-05,5595
2019-06,6323
2019-07,5762
2019-08,6399
2019-09,6752
2019-10,6363
2019-11,8034
2019-12,8403
2020-01,6016
2020-02,5514
2020-03,6348
2020-04,6095
2020-05,5643
2020-06,6753
2020-07,6526
2020-08,6499
2020-09,6943
2020-10,6814
2020-11,6910
2020-12,10397
2021-01,6899
2021-02,5918
2021-03,7290
2021-04,6754
2021-05,6000
2021-06,7889
2021-07,6877
2021-08,7037
2021-09,7664
2021-10,6918
2021-11,6902
2021-12,10539
2022-01,7282
2022-02,6094
2022-03,7470
2022-04,7294
2022-05,7149
2022-06,9633
2022-07,6828
2022-08,9658
2022-09,8294
2022-10,7605
2022-11,7788
2022-12,10903
2023-01,7434
2023-02,6871
2023-03,9122
2023-04,7365
2023-05,8015
2023-06,9363
2023-07,8012
2023-08,9027
2023-09,9587
2023-10,9110
2023-11,9539
2023-12,12379
2024-01,9144
2024-02,8356
2024-03,8884
2024-04,9407
2024-05,10425
2024-06,10161
2024-07,9843
2024-08,10385
2024-09,9737
2024-10,10015
2024-11,9129
2024-12,11772
2025-01,8935
2025-02,7304
2025-03,2330
