Date,Calidad Total
2010-07,13922
2010-08,14142
2010-09,13992
2010-10,14455
2010-11,14445
2010-12,42883
2011-01,40507
2011-02,11293
2011-03,12836
2011-04,14126
2011-05,15800
2011-06,14724
2011-07,14867
2011-08,17913
2011-09,16619
2011-10,15030
2011-11,15240
2011-12,45300
2012-01,46043
2012-02,12801
2012-03,14736
2012-04,14310
2012-05,16691
2012-06,20637
2012-07,16157
2012-08,13902
2012-09,17074
2012-10,16101
2012-11,16498
2012-12,58130
2013-01,54800
2013-02,13254
2013-03,14898
2013-04,14146
2013-05,15831
2013-06,18441
2013-07,15484
2013-08,14896
2013-09,18059
2013-10,18103
2013-11,17193
2013-12,64696
2014-01,62246
2014-02,14139
2014-03,16344
2014-04,16021
2014-05,17235
2014-06,17183
2014-07,15783
2014-08,16681
2014-09,18932
2014-10,18373
2014-11,18383
2014-12,66026
2015-01,64643
2015-02,14487
2015-03,17245
2015-04,16844
2015-05,18427
2015-06,18366
2015-07,14757
2015-08,15912
2015-09,18286
2015-10,19497
2015-11,18420
2015-12,72614
2016-01,68615
2016-02,16466
2016-03,19037
2016-04,19940
2016-05,18852
2016-06,20270
2016-07,16896
2016-08,19018
2016-09,22792
2016-10,21374
2016-11,21315
2016-12,71564
2017-01,67228
2017-02,18100
2017-03,21288
2017-04,18675
2017-05,21325
2017-06,22420
2017-07,24165
2017-08,23930
2017-09,24581
2017-10,22373
2017-11,24986
2017-12,80126
2018-01,74992
2018-02,19982
2018-03,23419
2018-04,22910
2018-05,24448
2018-06,25342
2018-07,26565
2018-08,26612
2018-09,27045
2018-10,26183
2018-11,24566
2018-12,84107
2019-01,78424
2019-02,22741
2019-03,26180
2019-04,24374
2019-05,26311
2019-06,27820
2019-07,28463
2019-08,28056
2019-09,29408
2019-10,29006
2019-11,32219
2019-12,93913
2020-01,86981
2020-02,25066
2020-03,27958
2020-04,25941
2020-05,27703
2020-06,30476
2020-07,30286
2020-08,30363
2020-09,31230
2020-10,31289
2020-11,32619
2020-12,103398
2021-01,93110
2021-02,27331
2021-03,30959
2021-04,29317
2021-05,28772
2021-06,33924
2021-07,31057
2021-08,33165
2021-09,32728
2021-10,31945
2021-11,32655
2021-12,107002
2022-01,98004
2022-02,27322
2022-03,30360
2022-04,29877
2022-05,31944
2022-06,36652
2022-07,32956
2022-08,37561
2022-09,33890
2022-10,32427
2022-11,34645
2022-12,125680
2023-01,113675
2023-02,29003
2023-03,33449
2023-04,29728
2023-05,34208
2023-06,37969
2023-07,35108
2023-08,37190
2023-09,37683
2023-10,38269
2023-11,40971
2023-12,125573
2024-01,114030
2024-02,33973
2024-03,36375
2024-04,37681
2024-05,41001
2024-06,41707
2024-07,41170
2024-08,40998
2024-09,41078
2024-10,42346
2024-11,42063
2024-12,61438
2025-01,48613
2025-02,30176
2025-03,15599
