Date,Fusiones y Adquisiciones
1979-11,0.00E+00
1979-12,0.00E+00
1980-01,0.00E+00
1980-02,0.00E+00
1980-03,0.00E+00
1980-04,0.00E+00
1980-05,0.00E+00
1980-06,0.00E+00
1980-07,0.00E+00
1980-08,0.00E+00
1980-09,0.00E+00
1980-10,0.00E+00
1980-11,0.00E+00
1980-12,0.00E+00
1981-01,0.00E+00
1981-02,0.00E+00
1981-03,0.00E+00
1981-04,0.00E+00
1981-05,0.00E+00
1981-06,0.00E+00
1981-07,0.00E+00
1981-08,0.00E+00
1981-09,0.00E+00
1981-10,0.00E+00
1981-11,0.00E+00
1981-12,1.38E-03
1982-01,3.62E-04
1982-02,0.00E+00
1982-03,0.00E+00
1982-04,0.00E+00
1982-05,0.00E+00
1982-06,0.00E+00
1982-07,0.00E+00
1982-08,0.00E+00
1982-09,0.00E+00
1982-10,0.00E+00
1982-11,0.00E+00
1982-12,0.00E+00
1983-01,0.00E+00
1983-02,0.00E+00
1983-03,5.73E-03
1983-04,0.00E+00
1983-05,0.00E+00
1983-06,0.00E+00
1983-07,0.00E+00
1983-08,0.00E+00
1983-09,0.00E+00
1983-10,0.00E+00
1983-11,0.00E+00
1983-12,0.00E+00
1984-01,0.00E+00
1984-02,0.00E+00
1984-03,0.00E+00
1984-04,2.00E-03
1984-05,0.00E+00
1984-06,0.00E+00
1984-07,0.00E+00
1984-08,0.00E+00
1984-09,0.00E+00
1984-10,0.00E+00
1984-11,0.00E+00
1984-12,0.00E+00
1985-01,3.14E-04
1985-02,2.32E-03
1985-03,0.00E+00
1985-04,0.00E+00
1985-05,0.00E+00
1985-06,0.00E+00
1985-07,0.00E+00
1985-08,0.00E+00
1985-09,0.00E+00
1985-10,0.00E+00
1985-11,0.00E+00
1985-12,0.00E+00
1986-01,5.84E-04
1986-02,0.00E+00
1986-03,0.00E+00
1986-04,3.77E-03
1986-05,0.00E+00
1986-06,0.00E+00
1986-07,0.00E+00
1986-08,0.00E+00
1986-09,1.75E-03
1986-10,0.00E+00
1986-11,0.00E+00
1986-12,0.00E+00
1987-01,2.75E-04
1987-02,0.00E+00
1987-03,4.84E-03
1987-04,1.81E-03
1987-05,0.00E+00
1987-06,0.00E+00
1987-07,0.00E+00
1987-08,0.00E+00
1987-09,0.00E+00
1987-10,0.00E+00
1987-11,0.00E+00
1987-12,0.00E+00
1988-01,1.82E-03
1988-02,0.00E+00
1988-03,1.55E-03
1988-04,0.00E+00
1988-05,0.00E+00
1988-06,0.00E+00
1988-07,0.00E+00
1988-08,0.00E+00
1988-09,0.00E+00
1988-10,0.00E+00
1988-11,0.00E+00
1988-12,2.24E-03
1989-01,2.49E-04
1989-02,0.00E+00
1989-03,1.45E-03
1989-04,0.00E+00
1989-05,1.75E-03
1989-06,1.52E-03
1989-07,0.00E+00
1989-08,0.00E+00
1989-09,5.82E-03
1989-10,1.69E-03
1989-11,0.00E+00
1989-12,0.00E+00
1990-01,9.41E-04
1990-02,0.00E+00
1990-03,5.67E-03
1990-04,3.14E-03
1990-05,0.00E+00
1990-06,0.00E+00
1990-07,3.03E-03
1990-08,1.74E-03
1990-09,5.40E-03
1990-10,1.54E-03
1990-11,1.73E-03
1990-12,1.03E-03
1991-01,2.52E-03
1991-02,0.00E+00
1991-03,0.00E+00
1991-04,5.89E-03
1991-05,1.58E-03
1991-06,2.79E-03
1991-07,1.47E-03
1991-08,0.00E+00
1991-09,2.65E-03
1991-10,0.00E+00
1991-11,0.00E+00
1991-12,1.01E-03
1992-01,1.85E-03
1992-02,1.64E-03
1992-03,0.00E+00
1992-04,2.76E-03
1992-05,0.00E+00
1992-06,2.55E-03
1992-07,1.37E-03
1992-08,1.68E-03
1992-09,1.22E-03
1992-10,0.00E+00
1992-11,0.00E+00
1992-12,9.96E-04
1993-01,9.30E-04
1993-02,0.00E+00
1993-03,0.00E+00
1993-04,2.56E-03
1993-05,0.00E+00
1993-06,0.00E+00
1993-07,0.00E+00
