Date,Gestión del Cambio
2021-08,17406
2021-09,17694
2021-10,16078
2021-11,18327
2021-12,25538
2022-01,17172
2022-02,13804
2022-03,17077
2022-04,16014
2022-05,17363
2022-06,22876
2022-07,16251
2022-08,24122
2022-09,18556
2022-10,18868
2022-11,18848
2022-12,29657
2023-01,17137
2023-02,16027
2023-03,23815
2023-04,18996
2023-05,20819
2023-06,26646
2023-07,20321
2023-08,23161
2023-09,24478
2023-10,23878
2023-11,24042
2023-12,32131
2024-01,22958
2024-02,21156
2024-03,22365
2024-04,21700
2024-05,25476
2024-06,24773
2024-07,25054
2024-08,27029
2024-09,30475
2024-10,25563
2024-11,22504
2024-12,31306
2025-01,21388
2025-02,17224
2025-03,7648
