Date,Reingeniería de Procesos
2007-12,398
2008-01,449
2008-02,215
2008-03,449
2008-04,402
2008-05,330
2008-06,420
2008-07,372
2008-08,243
2008-09,398
2008-10,499
2008-11,333
2008-12,553
2009-01,450
2009-02,337
2009-03,427
2009-04,358
2009-05,405
2009-06,488
2009-07,458
2009-08,396
2009-09,552
2009-10,465
2009-11,389
2009-12,478
2010-01,591
2010-02,278
2010-03,508
2010-04,441
2010-05,631
2010-06,532
2010-07,502
2010-08,511
2010-09,489
2010-10,664
2010-11,509
2010-12,538
2011-01,642
2011-02,410
2011-03,545
2011-04,436
2011-05,859
2011-06,708
2011-07,601
2011-08,666
2011-09,674
2011-10,522
2011-11,527
2011-12,613
2012-01,935
2012-02,424
2012-03,725
2012-04,503
2012-05,539
2012-06,746
2012-07,646
2012-08,505
2012-09,689
2012-10,649
2012-11,606
2012-12,725
2013-01,795
2013-02,433
2013-03,652
2013-04,543
2013-05,617
2013-06,728
2013-07,620
2013-08,603
2013-09,808
2013-10,758
2013-11,778
2013-12,803
2014-01,818
2014-02,619
2014-03,655
2014-04,650
2014-05,633
2014-06,806
2014-07,753
2014-08,667
2014-09,881
2014-10,819
2014-11,717
2014-12,891
2015-01,882
2015-02,515
2015-03,860
2015-04,618
2015-05,652
2015-06,781
2015-07,696
2015-08,687
2015-09,745
2015-10,927
2015-11,754
2015-12,952
2016-01,945
2016-02,617
2016-03,920
2016-04,868
2016-05,768
2016-06,900
2016-07,757
2016-08,789
2016-09,955
2016-10,857
2016-11,895
2016-12,1076
2017-01,765
2017-02,716
2017-03,892
2017-04,742
2017-05,830
2017-06,984
2017-07,1101
2017-08,1019
2017-09,1146
2017-10,1046
2017-11,1042
2017-12,1204
2018-01,945
2018-02,684
2018-03,1091
2018-04,897
2018-05,962
2018-06,1184
2018-07,1015
2018-08,1025
2018-09,1229
2018-10,1377
2018-11,961
2018-12,1310
2019-01,1037
2019-02,855
2019-03,1127
2019-04,1071
2019-05,1145
2019-06,1318
2019-07,1123
2019-08,1194
2019-09,1329
2019-10,1390
2019-11,1434
2019-12,1491
2020-01,1615
2020-02,1081
2020-03,1212
2020-04,1034
2020-05,1056
2020-06,1472
2020-07,1310
2020-08,1338
2020-09,1408
2020-10,1433
2020-11,1478
2020-12,1703
2021-01,1354
2021-02,1115
2021-03,1478
2021-04,1317
2021-05,1372
2021-06,1518
2021-07,1267
2021-08,1613
2021-09,1484
2021-10,1519
2021-11,1599
2021-12,1848
2022-01,1871
2022-02,1153
2022-03,1580
2022-04,1390
2022-05,1363
2022-06,1819
2022-07,1446
2022-08,1471
2022-09,1645
2022-10,1543
2022-11,1569
2022-12,2207
2023-01,1867
2023-02,1181
2023-03,1795
2023-04,1406
2023-05,1511
2023-06,2093
2023-07,1512
2023-08,1704
2023-09,1760
2023-10,1880
2023-11,1713
2023-12,2299
2024-01,1553
2024-02,1437
2024-03,1732
2024-04,1653
2024-05,1784
2024-06,1975
2024-07,1663
2024-08,1786
2024-09,1822
2024-10,1843
2024-11,1694
2024-12,2162
2025-01,1455
2025-02,958
