Date,Optimización de Precios
2017-12,1487
2018-01,1374
2018-02,988
2018-03,1198
2018-04,1175
2018-05,1300
2018-06,1582
2018-07,1463
2018-08,1310
2018-09,1606
2018-10,1572
2018-11,1309
2018-12,1567
2019-01,1424
2019-02,1084
2019-03,1333
2019-04,1346
2019-05,1320
2019-06,1630
2019-07,1524
2019-08,1475
2019-09,1522
2019-10,1646
2019-11,1813
2019-12,1845
2020-01,1977
2020-02,1293
2020-03,1461
2020-04,1308
2020-05,1353
2020-06,1763
2020-07,1539
2020-08,1699
2020-09,1800
2020-10,1873
2020-11,1955
2020-12,2240
2021-01,2099
2021-02,1475
2021-03,1757
2021-04,1652
2021-05,1807
2021-06,1958
2021-07,1780
2021-08,1868
2021-09,2059
2021-10,2059
2021-11,1981
2021-12,2291
2022-01,2612
2022-02,1550
2022-03,1956
2022-04,1728
2022-05,1866
2022-06,2337
2022-07,1971
2022-08,2144
2022-09,2222
2022-10,2346
2022-11,2408
2022-12,2748
2023-01,2515
2023-02,1822
2023-03,2092
2023-04,1974
2023-05,2117
2023-06,2668
2023-07,2194
2023-08,2187
2023-09,2550
2023-10,2648
2023-11,2604
2023-12,3190
2024-01,2811
2024-02,2045
2024-03,2618
2024-04,2445
2024-05,2825
2024-06,2987
2024-07,2666
2024-08,2578
2024-09,2691
2024-10,3119
2024-11,3011
2024-12,3467
2025-01,2495
2025-02,2011
